USER ID,FAMILY NAME,GIVEN NAME,TEACHING DEPARTMENT(S)
42519,NULL,Sierra Mcgrath,Science
80567,NULL,Sabina Mcclain,Physical Education
82021,NULL,Archibald Munoz,Physical Education
71751,NULL,Adam Rosales,"English, TOK"
66262,NULL,Sophie Wormald,Mathematics
73856,NULL,Lyra Beil,Arts
37072,NULL,Herman Farrow,Business
82794,NULL,Salman Bond,Business
80591,NULL,Shelbie Maxwell,English
41293,NULL,Mercedes Hoover,Mathematics
50304,NULL,Kush Whittington,Science
76688,NULL,Aayat Martins,Physical Education
76254,NULL,Kacper Clark,"Mathematics, TOK"
80581,NULL,Haydon Delaney,"Humanities, TOK"
41289,NULL,Tolga Rosas,"European Languages, SPP"
71095,NULL,Irfan Finney,European Languages
50318,NULL,Timothy Adkins,English
36626,NULL,Tomas Barnes,Business
76445,NULL,Caoimhe Davie,Science
21842,NULL,Sumaya Noel,Mathematics
73545,NULL,Timur Andrade,Science
73546,NULL,Dylon Melton,"Humanities, TOK"
69218,NULL,Ahsan Roy,"English, TOK"
69219,NULL,Kylan Weber,"English, SPP"
66260,NULL,Derren Lozano,English
76698,NULL,Belle Stark,Science
21506,NULL,Roma Vaughn,Technology
50345,NULL,Huma Montgomery,"Business, Humanities, SPP"
80597,NULL,Shakil Haynes,Mathematics
41292,NULL,Winston Aldred,Science
77229,NULL,Alicja Mccarthy,Science
78287,NULL,Laura Koch,European Languages
67403,NULL,Destiny Hayward,Arts
36992,NULL,Carson Mclellan,Physical Education
80582,NULL,Nichola Cornish,Business
78289,NULL,Arabella Cervantes,"English, SPP"
46314,NULL,Mirza Becker,English
53739,NULL,Justin Burrows,European Languages
58245,NULL,Elle-May Skinner,English
53729,NULL,Piers Devlin,Mathematics
81495,NULL,Rome Li,Technology
82793,NULL,Kay Villarreal,Asian Languages
72270,NULL,Anum Searle,European Languages
70315,NULL,Lukas Coulson,English
33202,NULL,Hayden Frost,Asian Languages
21017,NULL,Harold Dominguez,Asian Languages
70641,NULL,Rafi Goodman,"European Languages, SPP"
51637,NULL,Sabah Pierce,SPP
21117,NULL,Cinar Robins,Asian Languages
69235,NULL,Kajus Dixon,Asian Languages
51275,NULL,Inaayah Roth,Technology
32706,NULL,Jax Hoffman,English
76446,NULL,Carina Cochran,Mathematics
21882,NULL,Norma Hansen,Arts
32700,NULL,Moshe Read,SPP
71686,NULL,Aneesa Finnegan,Humanities
29596,NULL,Kerys Reader,"English, SPP"
80612,NULL,Huzaifah Velazquez,Business
80590,NULL,Luciano Redman,"Humanities, TOK"
77537,NULL,Sonny Gilbert,Mathematics
78307,NULL,Nikodem Richardson,Arts
71546,NULL,Israr Greer,"Arts, English, SPP"
58251,NULL,Inez Vang,"Business, Humanities"
82795,NULL,Fearne Morin,Physical Education
76255,NULL,Adela Rowland,Humanities
63145,NULL,Precious Valentine,Mathematics
67316,NULL,Lili Nairn,Science
26301,NULL,Arnas Hester,Science
80833,NULL,Kuba West,"Mathematics, Technology"
46377,NULL,Greyson Schofield,Humanities
59921,NULL,Mateusz Arellano,"European Languages, SPP"
74105,NULL,Suhayb Rojas,European Languages
78294,NULL,Arley Coles,Science
70340,NULL,Eamonn Ryan,Business
68397,NULL,Chandler Mccabe,Mathematics
63565,NULL,Mayson Lugo,European Languages
69196,NULL,Kamran Long,Arts
78286,NULL,Kamila Figueroa,English
80828,NULL,Wiktoria Grimes,"Science, SPP"
20996,NULL,Macauly Watkins,"Science, SPP"
37855,NULL,Yousaf Griffith,"Science, TOK"
37395,NULL,Raiden Nash,Arts
63144,NULL,Sukhmani Gibson,Mathematics
71542,NULL,Lindsay Shields,English
80112,NULL,Carley Hampton,Technology
69250,NULL,Samirah Underwood,Science
53732,NULL,Vlad Arias,Business
78617,NULL,Rosemary Peck,"Arts, TOK"
30380,NULL,Lois Leach,Mathematics
80605,NULL,Lexi-Mai Horne,Physical Education
62163,NULL,Lorena Torres,Technology
46146,NULL,Carrie Bone,"Business, Technology"
64010,NULL,Ellie-Mai Schneider,Asian Languages
50456,NULL,Jorja Heaton,Asian Languages
