Day of the week ,Duty name,Start time,End time,Teacher name,Teacher ID
Monday,Duty-Atrium/Lockers/Lift lobby Sweep,08:30,09:00,Alicja Mccarthy,77229
Tuesday,Duty-Atrium/Lockers/Lift lobby Sweep,08:30,09:00,Timur Andrade,73545
Wednesday,Duty-Atrium/Lockers/Lift lobby Sweep,08:30,09:00,Inaayah Roth,51275
Thursday,Duty-Atrium/Lockers/Lift lobby Sweep,08:30,09:00,Lili Nairn,67316
Friday,Duty-Atrium/Lockers/Lift lobby Sweep,08:30,09:00,Kylan Weber,69219
Monday,Duty-Reception ,08:30,09:00,Destiny Hayward,67403
Tuesday,Duty-Reception ,08:30,09:00,Mirza Becker,46314
Wednesday,Duty-Reception ,08:30,09:00,Greyson Schofield,46377
Thursday,Duty-Reception ,08:30,09:00,Lois Leach,30380
Friday,Duty-Reception ,08:30,09:00,Mirza Becker,46314
Monday,Duty-MRT,08:30,09:00,Anum Searle,72270
Wednesday,Duty-MRT,08:30,09:00,Carley Hampton,80112
Friday,Duty-MRT,08:30,09:00,Rome Li,81495
Monday,Duty-Canteen queues,11:05,11:25,Piers Devlin,53729
Tuesday,Duty-Canteen queues,11:05,11:25,Derren Lozano,66260
Wednesday,Duty-Canteen queues,11:05,11:25,Adam Rosales,71751
Thursday,Duty-Canteen queues,11:05,11:25,Shelbie Maxwell,80591
Friday,Duty-Canteen queues,11:05,11:25,Vlad Arias,53732
Monday,Duty-Canteen tables,11:05,11:25,Moshe Read,32700
Tuesday,Duty-Canteen tables,11:05,11:25,Kay Villarreal,82793
Wednesday,Duty-Canteen tables,11:05,11:25,Kush Whittington,50304
Thursday,Duty-Canteen tables,11:05,11:25,Aneesa Finnegan,71686
Friday,Duty-Canteen tables,11:05,11:25,Sierra Mcgrath,42519
Monday,Duty-Courts/Small Field,11:05,11:25,Kerys Reader,29596
Tuesday,Duty-Courts/Small Field,11:05,11:25,Hayden Frost,33202
Wednesday,Duty-Courts/Small Field,11:05,11:25,Timothy Adkins,50318
Thursday,Duty-Courts/Small Field,11:05,11:25,Inez Vang,58251
Friday,Duty-Courts/Small Field,11:05,11:25,Lyra Beil,73856
Monday,Duty-Atrium & Lift lobby @11:15,11:05,11:25,Adela Rowland,76255
