USER ID,FAMILY NAME,GIVEN NAME,TEACHING DEPARTMENT(S)
10000,NULL,Sierra Mcgrath,Science
10001,NULL,Sabina Mcclain,Physical Education
10002,NULL,Archibald Munoz,Physical Education
10003,NULL,Adam Rosales,"English, TOK"
10004,NULL,Sophie Wormald,Mathematics
10005,NULL,Lyra Beil,Arts
10006,NULL,Herman Farrow,Business
10007,NULL,Salman Bond,Business
10008,NULL,Shelbie Maxwell,English
10009,NULL,Mercedes Hoover,Mathematics
10010,NULL,Kush Whittington,Science
10011,NULL,Aayat Martins,Physical Education
10012,NULL,Kacper Clark,"Mathematics, TOK"
10013,NULL,Haydon Delaney,"Humanities, TOK"
10014,NULL,Tolga Rosas,"European Languages, SPP"
10015,NULL,Irfan Finney,European Languages
10016,NULL,Timothy Adkins,English
10017,NULL,Tomas Barnes,Business
10018,NULL,Caoimhe Davie,Science
10019,NULL,Sumaya Noel,Mathematics
10020,NULL,Timur Andrade,Science
10021,NULL,Dylon Melton,"Humanities, TOK"
10022,NULL,Ahsan Roy,"English, TOK"
10023,NULL,Kylan Weber,"English, SPP"
10024,NULL,Derren Lozano,English
10025,NULL,Belle Stark,Science
10026,NULL,Roma Vaughn,Technology
10027,NULL,Huma Montgomery,"Business, Humanities, SPP"
10028,NULL,Shakil Haynes,Mathematics
10029,NULL,Winston Aldred,Science
10030,NULL,Alicja Mccarthy,Science
10031,NULL,Laura Koch,European Languages
10032,NULL,Destiny Hayward,Arts
10033,NULL,Carson Mclellan,Physical Education
10034,NULL,Nichola Cornish,Business
10035,NULL,Arabella Cervantes,"English, SPP"
10036,NULL,Mirza Becker,English
10037,NULL,Justin Burrows,European Languages
10038,NULL,Elle-May Skinner,English
10039,NULL,Piers Devlin,Mathematics
10040,NULL,Rome Li,Technology
10041,NULL,Kay Villarreal,Asian Languages
10042,NULL,Anum Searle,European Languages
10043,NULL,Lukas Coulson,English
10044,NULL,Hayden Frost,Asian Languages
10045,NULL,Harold Dominguez,Asian Languages
10046,NULL,Rafi Goodman,"European Languages, SPP"
10047,NULL,Sabah Pierce,SPP
10048,NULL,Cinar Robins,Asian Languages
10049,NULL,Kajus Dixon,Asian Languages
10050,NULL,Inaayah Roth,Technology
10051,NULL,Jax Hoffman,English
10052,NULL,Carina Cochran,Mathematics
10053,NULL,Norma Hansen,Arts
10054,NULL,Moshe Read,SPP
10055,NULL,Aneesa Finnegan,Humanities
10056,NULL,Kerys Reader,"English, SPP"
10057,NULL,Huzaifah Velazquez,Business
10058,NULL,Luciano Redman,"Humanities, TOK"
10059,NULL,Sonny Gilbert,Mathematics
10060,NULL,Nikodem Richardson,Arts
10061,NULL,Israr Greer,"Arts, English, SPP"
10062,NULL,Inez Vang,"Business, Humanities"
10063,NULL,Fearne Morin,Physical Education
10064,NULL,Adela Rowland,Humanities
10065,NULL,Precious Valentine,Mathematics
10066,NULL,Lili Nairn,Science
10067,NULL,Arnas Hester,Science
10068,NULL,Kuba West,"Mathematics, Technology"
10069,NULL,Greyson Schofield,Humanities
10070,NULL,Mateusz Arellano,"European Languages, SPP"
10071,NULL,Suhayb Rojas,European Languages
10072,NULL,Arley Coles,Science
10073,NULL,Eamonn Ryan,Business
10074,NULL,Chandler Mccabe,Mathematics
10075,NULL,Mayson Lugo,European Languages
10076,NULL,Kamran Long,Arts
10077,NULL,Kamila Figueroa,English
10078,NULL,Wiktoria Grimes,"Science, SPP"
10079,NULL,Macauly Watkins,"Science, SPP"
10080,NULL,Yousaf Griffith,"Science, TOK"
10081,NULL,Raiden Nash,Arts
10082,NULL,Sukhmani Gibson,Mathematics
10083,NULL,Lindsay Shields,English
10084,NULL,Carley Hampton,Technology
10085,NULL,Samirah Underwood,Science
10086,NULL,Vlad Arias,Business
10087,NULL,Rosemary Peck,"Arts, TOK"
10088,NULL,Lois Leach,Mathematics
10089,NULL,Lexi-Mai Horne,Physical Education
10090,NULL,Lorena Torres,Technology
10091,NULL,Carrie Bone,"Business, Technology"
10092,NULL,Ellie-Mai Schneider,Asian Languages
10093,NULL,Jorja Heaton,Asian Languages
